"event_clearance_description"|"count"
"HARBOR - WATER EMERGENCIES"|431
"MARIJUANA PUBLIC USE (NOT DISPENSARY)"|391
"DISTURBANCE, GANG RELATED"|333
"PROPERTY - FOUND (NON SPD GO#)"|322
"VICE, OTHER"|234
"HOMICIDE"|214
"RECKLESS BURNING"|210
"TRAFFIC CONTROL (SPECIAL EVENTS)"|160
"MENTAL PERSON PICK-UP OR TRANSPORT"|153
"HARBOR - DEBRIS, NAVIGATIONAL HAZARDS"|136
"ALACAD - RESIDENTIAL PANIC (FALSE)"|134
"SEX OFFENDER - FAILURE TO REGISTER"|123
"ALACAD - COMMERCIAL PANIC (FALSE)"|120
"NARCOTICS WARRANT SERVICE"|110
"PURSUIT"|97
"HARBOR - CODE VIOLATION"|68
"HARBOR - ASSIST BOATER (NON EMERGENCY)"|68
"LOST PERSON"|59
"CROWD MANAGEMENT (Stand by only)"|58
"HARBOR - BOAT ACCIDENT"|55
"GAMBLING"|52
"ASSAULTS, GANG RELATED "|52
"ASSAULTS, GANG RELATED"|48
"PORNOGRAPHY"|46
"ALACAD - VEHICLE (FALSE)"|45
"AWOL"|32
"HARBOR - VESSEL ABANDONED"|31
"CRISIS COMPLAINT - PICK-UP OR TRANSPORT"|30
"AWOL "|29
"HARBOR - VESSEL THEFT"|27
"LIQUOR VIOLATIONS (BUSINESS)"|26
"SOAP (STAY OUT OF AREA OF PROSTITUTION) ORDER VIOLATION"|23
"DEMONSTRATION MANAGEMENT (Control tactics used)"|15
"HARBOR - MARINE FIRE"|12
"HARBOR - VESSEL RECOVERY"|9
"HARBOR - VESSEL THEFT AND RECOVERY"|6
"HARBOR - BOATING UNDER THE INFLUENCE"|5
"DOMESTIC HUMAN TRAFFICKING, ADULT"|1
"DOMESTIC SEX TRAFFICKING, ADULT"|1
""|16067
